,en,de,fr
dining_room_01,"First, I need to explore this room to collect some useful clues.","Als Erstes muss ich den Raum nach Hinweisen durchsuchen.","Premièrement, jai besoin d’explorer cette pièce pour collecter des indices."
fallbacks_pick_up_3,"Pick up!","Aufheben!","Pick up!"
fallbacks_pick_up_4,"That's not a good idea.","Das ist keine gute Idee.","That's not a good idea."
fallbacks_use_1,"use!","benutzen!","use!"
fallbacks_use_2,"I can't do that.","Ich kann das nicht machen.","I can't do that."
game_load_1,"Boo! Hello, I'm the ghost of Villa Majorelle, welcome to the game!","Buh! Hallo, ich bin der Geist der Villa Majorelle, willkommen im Spiel!","Boo! Hello, I'm the ghost of Villa Majorelle, welcome to the game!"
jacques_intro_01,"Good day to you my fellow traveler. I can sense you are an adventurer and I do trust you already.","Guten Tag lieber Mitreisender. Ich spüre Ihr seid ein Abenteurer und vertraue Ihnen jetzt schon.","Bien le bonjour mon compagnon voyageur! Je sens que tu es un aventurier et je te fais déjà confiance!"
jacques_intro_02,"Your quest starts here: Family meaLs are so important and they create such wonderfUl memories. Oh, I do hope you like anagrams!","Ihr Auftrag beginnt hier: Mahlzeiten im Kreise der FamiLie sind wichtig und erschaffen wUndervolle Erinnerungen. Oh, Ich hoffe Ihr mögt Anagramme!","Ta quête commence ici. J’espère que tu aimes les anagrammes!"
jacques_intro_03,"Collect the letters!","Sammle die Buchstaben ein","Collecte les lettres!"
jacques_intro_arturo_01,"Thank you, Jacques, and pleased to meet you.","Danke, Jacques, nett Sie kennenzulernen.","Thank you, Jacques, and pleased to meet you."
jane_intro_01,"Hello my dear! A reporter, how exciting! Come and talk to me in the dining room later.","Hallo mein Lieber! Ein Reporter, wie aufregend! Besuchen Sie mich später auf ein Gespräch im Esszimmer.","Hello, my dear! Vous êtes un journaliste. Que c’est intéressant!"
jane_intro_02,"But before that you need to find the rabbits. Black and white are the colours of music. Find the rabbits!","Aber als erstes müsst Ihr die Kaninchen finden. Schwarz und Weiß sind die Farben der Musik. Findet die Kaninchen!","Venez me voir dans mon salon tout à l’heure, nous pourrons papoter…mais avant cela vous devrez trouver les lapins … Noir et blanc sont les couleurs de la musique...Trouve les lapins!"
jane_intro_arturo_01,"Well, I'll look for some rabbits and talk to you later, Madam.","Also, ich suche ein paar Kaninchen und spreche dann wieder mit Ihnen, Madame.","Et bien, oui, je vais chercher des lapins et je viens vous voir plus tard Madame Majorelle."
luis_intro_01,"Good afternoon Sir and welcome to my villa! I am Louis Majorelle. I'm so happy to see you and hope you will be able to soothe my soul.","Schönen Nachmittag edler Herr und willkommen in meiner Villa! Ich bin Louis Majorelle. Ich bin so glücklich Sie zu sehen und hoffe, dass Sie meine Seele beruhigen können.","Bonjour à toi Arturo et bienvenue dans ma Villa! Je suis Louis Majorelle et nous sommes très heureux de vous rencontrer... J’espère que vous saurez apaiser mon esprit."
luis_intro_02,"The disturbance involved in the restoration and opening of the Villa Majorelle has shaken our souls.","Die Unruhe durch die Restauration und Öffnung der Villa hat unsere Seelen geradezu erschüttert.","Le dérangement occasionné par la restauration de ma Villa – dont je suis très fière – et sa réouverture au public ont secoué mon esprit et ceux de ma famille."
luis_intro_03,"And oh dear... I have lost an object so dear to me - please, help me find it. My wife's music talent will help you in your quest.","Und, oh weh, ich habe ein für mich so wichtiges Objekt verloren. Bitte helfen Sie mir es zu finden. Das musikalische Talent meiner Frau wird Ihnen helfen\n","Et, mon cher dans ce tumulte nous avons perdu quelques objets très importants à mes yeux. S’il te plaît Arturo, aide-moi à retrouvez l’objet perdu, je ne cesse de retourner la villa dans tous les sens et je ne parviens pas à remettre la main dessus! Il est primordial pour la décoration d’ensemble de la villa!"
